"datacamp_id","academic_year","location","intern_status","intern_work_site","work_site_zip","organization","industry","total_hours_worked","dob","mailing_zip","median_household_income","labor_force_participation","unemployment_rate","ssi","cash_assistance","snap","all_families_below_poverty","educational_attainment_ba","female_headed_households","race","gender","high_school","title_i_school","frl","graduation_rate_of_hs","college_enrollment_of_hs","hs_zip_code","nsc_data_available","first_year_college_enrollment","first_year_college_type","first_year_college_state","student_quote"
"UADC1286","2014 - 2015","DC - Year Round High School Program","Active","Pharmaceutical Research and Manufacturers of America (PhRMA) DC 2014-2015","20004","Pharmaceutical Research and Manufacturers of America (PhRMA)","Healthcare",165,"1997-03-26","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","F","McKinley Technology High School",1,0.553412,0.95,NA,"20002",0,NA,NA,NA,""
"UADC1","2014 - 2015","DC - DOES","Active","",NA,"","",NA,"1997-01-23","20002",65000,0.719,0.095,0.084,0.048,0.181,0.163,0.477,0.084,"Black","F","Anacostia Senior High School",1,1,0.39,NA,"20020",0,NA,NA,NA,""
"UADC1311","2014 - 2015","NCR","Active","Smithsonian Institution Office of Sponsored Projects NCR 2014-2015","22202","Smithsonian Institution, Office of Sponsored Projects","Non-profit",117,"1996-09-01","22204",76052,0.803,0.046,0.022,0.011,0.07,0.127,0.53,0.064,"Hispanic/Latino","M","Wakefield High School",0,0.4551,0.894,NA,"22206",0,NA,NA,NA,""
"UADC1045","2014 - 2015","Baltimore","Active","Bank of America BAL Gardenville 2014-2015","20005","Bank of America","Financial Services",87,"1996-09-04","21206",48428,0.706,0.079,0.052,0.04,0.169,0.139,0.171,0.127,"Black","F","Maritime Industries Academy",0,0.761,0.7237,0.424,"21206",0,NA,NA,NA,""
"UADC1207","2014 - 2015","DC - Year Round High School Program","Active","MCN Build DC 2014-2015","20007","MCN Build","Real Estate",215,"1997-11-07","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","M","Perry Street Prep",0,0.633129,0.68,NA,"20018",0,NA,NA,NA,""
"UADC1213","2014 - 2015","Baltimore","Active","Morgan Stanley BAL 2014-2015","10036","Morgan Stanley","Financial Services",225,"1997-08-01","21229",45055,0.668,0.096,0.068,0.044,0.193,0.138,0.165,0.127,"Multiracial","M","Digital Harbor",0,0.778,0.6503,0.595,"21230",0,NA,NA,NA,""
"UADC1026","2014 - 2015","NCR","Active","AR County Board NCR 2014-2015","22201","Arlington County Board","Government",184,"1997-05-07","22204",76052,0.803,0.046,0.022,0.011,0.07,0.127,0.53,0.064,"Asian","M","Wakefield High School",0,0.4551,0.894,NA,"22206",0,NA,NA,NA,""
"UADC1030","2014 - 2015","NCR","Active","Arlington Street Peoples Assistance Network NCR 2014-2015","22210","Arlington Street Peoples Assistance Network","Non-profit",145,"1997-03-12","22204",76052,0.803,0.046,0.022,0.011,0.07,0.127,0.53,0.064,"Hispanic/Latino","M","Wakefield High School",0,0.4551,0.894,NA,"22206",0,NA,NA,NA,""
"UADC1112","2014 - 2015","Baltimore - YAIP","Active","CUPs BAL YAIP 2014-2015","21223","CUPs Coffeehouse","Other",55,"1994-06-15","21215",34471,0.555,0.102,0.123,0.064,0.268,0.223,0.171,0.118,"Black","M","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC1105","2014 - 2015","Chicago","Active","ContextMedia CHI 2014-2015","60611","ContextMedia,Inc","Media & Entertainment",216,"1998-02-06","60652",65330,0.665,0.083,0.04,0.026,0.124,0.102,0.203,0.106,"Hispanic/Latino","M","Muchin College Prep",0,0.849,0.93,NA,"60602",0,NA,NA,NA,""
"UADC1193","2014 - 2015","DC - Year Round High School Program","Active","Marriott DC Metro Center 2014-2015","20817","Marriott","Hospitality",166,"1997-12-15","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","M","Washington Mathematics Science Technology Public Charter High School (WMST)",1,1,0.91,NA,"20002",0,NA,NA,NA,""
"UADC1139","2014 - 2015","Chicago","Active","Exelon CHI 2014-2015","60603","Exelon","Utilities",177,"1997-03-17","60628",34472,0.532,0.127,0.116,0.066,0.314,0.247,0.168,0.141,"Hispanic/Latino","F","Fenger Academy High School",1,0.962,0.82,0.41,"60628",0,NA,NA,NA,""
"UADC1228","2014 - 2015","Chicago","Terminated Student","Northern Trust 801 S Canal CHI 2014-2015","60603","Northern Trust","Financial Services",187,"1997-01-20","60632",38545,0.661,0.107,0.033,0.076,0.232,0.209,0.085,0.096,"Hispanic/Latino","F","Muchin College Prep",0,0.849,0.93,NA,"60602",0,NA,NA,NA,""
"UADC1262","2014 - 2015","DC - Year Round High School Program","Active","Opower DC 2014-2015","22201","Opower","Technology",217,"1997-10-15","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","F","McKinley Technology High School",1,0.553412,0.95,NA,"20002",0,NA,NA,NA,""
"UADC1271","2014 - 2015","NCR","Active","Patent and Trade Office NCR 2014-2015","22314","Patent and Trade Office","Government",81,"1996-06-11","22305",78220,0.814,0.039,0.019,0.009,0.065,0.086,0.503,0.066,"Hispanic/Latino","M","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC1006","2014 - 2015","Chicago","Active","Alan F. Segal & Associates CHI 2014-2015","60603","Alan F. Segal & Associates","Legal & Professional Services",180,"1997-08-15","60628",34472,0.532,0.127,0.116,0.066,0.314,0.247,0.168,0.141,"Black","F","Fenger Academy High School",1,0.962,0.82,0.41,"60628",0,NA,NA,NA,""
"UADC1299","2014 - 2015","DC - Year Round High School Program","Active","Sasha Bruce 21st Century Community Learning Center DC 2014-2015","20003","Sasha Bruce Youthworks","Non-profit",186,"1997-07-01","20320",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black","F","Ballou Senior High School",1,0.998,0.5,NA,"20032",0,NA,NA,NA,""
"UADC1308","2014 - 2015","Chicago","Active","Skadden CHI 2014-2015","60606","Skadden, Arps, Slate, Meagher & Flom","Legal & Professional Services",224,"1997-07-03","60649",28573,0.617,0.132,0.11,0.06,0.338,0.244,0.245,0.139,"Black","F","Muchin College Prep",0,0.849,0.93,NA,"60602",0,NA,NA,NA,""
"UADC1317","2014 - 2015","NCR","Active","The Campagna Center NCR 2014-2015","22314","The Campagna Center","Non-profit",175,"1997-11-19","22311",66319,0.783,0.04,0.008,0.008,0.062,0.088,0.462,0.065,"Black","F","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC1249","2014 - 2015","DC - Year Round High School Program","Active","Office of Personnel Management - Retirement Services 2014-2015","20240","Office of Personnel Management","Government",83,"1997-01-28","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","F","Eastern Senior High School",1,0.997446,NA,NA,"20003",0,NA,NA,NA,""
"UADC1120","2014 - 2015","Chicago","Active","Digitas CHI 2014-2015","60601","Digitas","Non-profit",229,"1997-03-10","60417",70383,0.672,0.078,0.032,0.014,0.048,0.042,0.335,0.057,"Black","M","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC2","2014 - 2015","DC - DOES","Active","Office of the Deputy Mayor for Planning and Economic Development DC 2014-2015 (2)","20024","Office of the Deputy Mayor for Planning and Economic Development","Government",233,"1997-10-10","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","F","Anacostia Senior High School",1,1,0.39,NA,"20020",0,NA,NA,NA,""
"UADC1280","2014 - 2015","NCR","Active","Patent and Trade Office NCR 2014-2015","22314","Patent and Trade Office","Government",146,"1997-06-05","22305",78220,0.814,0.039,0.019,0.009,0.065,0.086,0.503,0.066,"","F","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC1257","2014 - 2015","DC - Year Round High School Program","Active","Office of Personnel Management - Office of the Director - 2014-2015","20240","Office of Personnel Management","Government",154,"1997-06-03","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","M","Eastern Senior High School",1,0.997446,NA,NA,"20003",0,NA,NA,NA,""
"UADC1043","2014 - 2015","DC - Year Round High School Program","Active","Bank of America Farragut Square DC 2014-2015","20006","Bank of America","Financial Services",77,"1996-05-09","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","F","Coolidge Senior High School",1,0.995381,0.51,NA,"20011",0,NA,NA,NA,""
"UADC1084","2014 - 2015","Chicago","Active","Chicago Transit Authority CHI 2014-2015","60661","Chicago Transit Authority","Government",207,"1997-08-13","60620",31753,0.555,0.148,0.112,0.057,0.33,0.252,0.143,0.189,"Black","F","Muchin College Prep",0,0.849,0.93,NA,"60602",0,NA,NA,NA,""
"UADC1348","2014 - 2015","NCR","Active","Washington Speakers Bureau NCR 2014-2015","22314","Washington Speakers Bureau","Non-profit",30,"1996-11-29","22304",76061,0.788,0.045,0.022,0.017,0.048,0.046,0.586,0.049,"Black","F","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC1002","2014 - 2015","Chicago","Active","A Silver Lining CHI 2014-2015","60602","A Silver Lining Foundation","Non-profit",NA,"1997-01-10","60609",33630,0.628,0.138,0.087,0.133,0.341,0.265,0.105,0.124,"Hispanic/Latino","F","Farragut Career Academy",1,0.969,0.78,0.43,"60623",0,NA,NA,NA,""
"UADC1263","2014 - 2015","DC - Year Round High School Program","Active","Partnership for Public Service 2014-2015","20005","Partnership for Public Service","Non-profit",63,"1997-06-12","20018",52317,0.606,0.109,0.096,0.061,0.22,0.119,0.279,0.084,"Black","F","Wilson Senior High School",0,0.295401,0.76,NA,"20016",0,NA,NA,NA,""
"UADC1100","2014 - 2015","DC - Year Round High School Program","Active","Community Preservation and Development Corporation- Arbor View DC 2014-2015","20015","Community Preservation and Development Corporation","Non-profit",119,"1997-02-13","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","F","IDEA Public Charter School",0,0.59799,0.42,NA,"20019",0,NA,NA,NA,""
"UADC1138","2014 - 2015","Chicago","Active","Exelon CHI 2014-2015","60603","Exelon","Utilities",209,"1997-08-18","60623",28949,0.579,0.108,0.094,0.103,0.394,0.367,0.07,0.176,"Hispanic/Latino","F","Curie Metro High School",0,0.938,0.86,0.64,"60632",0,NA,NA,NA,""
"UADC1315","2014 - 2015","Chicago","Active","Teach for America CHI 2014-2015","60606","Teach for America","Education",204,"1997-06-26","60634",55767,0.68,0.081,0.036,0.016,0.09,0.088,0.201,0.053,"Hispanic/Latino","F","Steinmetz College Prep",1,0.926,0.89,0.53,"60634",0,NA,NA,NA,""
"UADC1086","2014 - 2015","Chicago","Active","Chicago Transit Authority CHI 2014-2015","60661","Chicago Transit Authority","Government",196,"1995-09-13","60649",28573,0.617,0.132,0.11,0.06,0.338,0.244,0.245,0.139,"Black","F","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC3","2014 - 2015","DC - DOES","Active","",NA,"","",NA,"1997-06-09","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","M","Anacostia Senior High School",1,1,0.39,NA,"20020",0,NA,NA,NA,""
"UADC1005","2014 - 2015","DC - Year Round High School Program","Active","African American Civil War Memorial and Museum DC 2014-2015","20001","African American Civil War Memorial and Museum","Non-profit",186,"1997-09-30","20017",56980,0.641,0.107,0.05,0.027,0.135,0.135,0.391,0.102,"Black","F","Eastern Senior High School",1,0.997446,NA,NA,"20003",0,NA,NA,NA,""
"UADC1219","2014 - 2015","DC - Year Round High School Program","Active","Natural Resources Defense Council (1) DC 2014-2015","20005","Natural Resources Defense Council","Non-profit",72,"1996-10-11","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","F","Perry Street Prep",0,0.633129,0.68,NA,"20018",0,NA,NA,NA,""
"UADC1198","2014 - 2015","Baltimore","Active","Marriott BAL Renaissance 2014-2015","20817","Marriott","Hospitality",223,"1997-06-16","21213",34046,0.59,0.105,0.12,0.098,0.282,0.183,0.109,0.169,"Black","F","Heritage",0,0.858,0.5667,0.387,"21213",0,NA,NA,NA,""
"UADC1240","2014 - 2015","NCR","Active","Northern Virginia Area Health Education Center NCR 2014-2015","22305","Northern Virginia Area Health Education Center","Legal & Professional Services",12,"1998-07-08","22312",76845,0.757,0.037,0.013,0.016,0.056,0.091,0.435,0.044,"Black","F","TC Williams Satellite Campus",0,NA,NA,NA,"22314",0,NA,NA,NA,""
"UADC1133","2014 - 2015","Baltimore - YAIP","Alumni","ECSM BAL YAIP 2014-2015","21213","Episcopal Community Services of Maryland","Non-profit",368,"1996-11-20","21229",45055,0.668,0.096,0.068,0.044,0.193,0.138,0.165,0.127,"Black","M","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC1152","2014 - 2015","Chicago","Terminated Student","Gynecologic Specialists of Northwestern, S.C. CHI 2014-2015","60611","Gynecologic Specialists of Northwestern, S.C.","Healthcare",99,"1997-08-29","60653",24968,0.616,0.153,0.123,0.044,0.363,0.359,0.265,0.203,"Black","F","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC1056","2014 - 2015","Chicago","Active","Bank of America-7131 S Stony Island- CHI 2014-2015","20005","Bank of America","Financial Services",217,"1996-09-19","60104",50244,0.659,0.101,0.065,0.028,0.242,0.13,0.163,0.132,"Black","M","Dunbar Vocational Career Academy",1,0.977,0.89,0.76,"60616",0,NA,NA,NA,""
"UADC1310","2014 - 2015","Chicago","Active","Skadden CHI 2014-2015","60606","Skadden, Arps, Slate, Meagher & Flom","Legal & Professional Services",NA,"1997-04-27","60615",39055,0.641,0.098,0.07,0.029,0.187,0.174,0.534,0.089,"Hispanic/Latino","F","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC1225","2014 - 2015","Chicago","Active","Northern Trust 50 S LaSalle CHI 2014-2015","60603","Northern Trust","Financial Services",280,"1997-06-08","60623",28949,0.579,0.108,0.094,0.103,0.394,0.367,0.07,0.176,"Hispanic/Latino","M","Curie Metro High School",0,0.938,0.86,0.64,"60632",0,NA,NA,NA,""
"UADC1298","2014 - 2015","DC - Year Round High School Program","Active","Running Start DC 2014-2015","20036","Running Start","Non-profit",119,"1997-12-03","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","F","Wilson Senior High School",0,0.295401,0.76,NA,"20016",0,NA,NA,NA,""
"UADC1182","2014 - 2015","DC - Year Round High School Program","Active","LearnZillion DC 2014-2015","20009","LearnZillion","Education",197,"1996-08-22","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","F","Washington Mathematics Science Technology Public Charter High School (WMST)",1,1,0.91,NA,"20002",0,NA,NA,NA,""
"UADC4","2014 - 2015","NCR","Active","Jack Taylor Toyota NCR 2014-2015","22305","Jack Taylor Toyota","Other",244,"1997-09-01","22312",76845,0.757,0.037,0.013,0.016,0.056,0.091,0.435,0.044,"Hispanic/Latino","F","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC1339","2014 - 2015","DC - Year Round High School Program","Active","Venable DC 2014-2015","20004","Venable","Legal & Professional Services",257,"1997-07-09","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","F","McKinley Technology High School",1,0.553412,0.95,NA,"20002",0,NA,NA,NA,""
"UADC1186","2014 - 2015","Chicago","Active","Loop Capital CHI 2014-2015","60604","Loop Capital","Financial Services",166,"1997-05-20","60629",40650,0.646,0.107,0.07,0.046,0.244,0.221,0.083,0.125,"Hispanic/Latino","M","Hubbard High School",0,0.979,0.92,0.6,"60629",0,NA,NA,NA,""
"UADC5","2014 - 2015","DC - DOES","Active","Corporation for National and Community Service- Trust Dept 2014-2015","20005","Corporation for National and Community Service","Non-profit",186,"1997-05-27","20002",65000,0.719,0.095,0.084,0.048,0.181,0.163,0.477,0.084,"Black","M","Dunbar Senior High School",1,0.993631,0.55,NA,"20001",0,NA,NA,NA,""
"UADC1097","2014 - 2015","Chicago","Active","Clifford Law CHI 2014-2015","60602","Clifford Law","Legal & Professional Services",192,"1997-08-14","60637",25772,0.566,0.129,0.12,0.063,0.344,0.34,0.313,0.188,"Black","M","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC1319","2014 - 2015","Chicago","Active","The John Buck Company CHI 2014-2015","60606","The John Buck Company","Real Estate",232,"1997-06-25","60616",44258,0.668,0.088,0.055,0.038,0.148,0.196,0.374,0.061,"Asian","F","Thomas Kelly High School",0,0.943,0.86,0.59,"60632",0,NA,NA,NA,""
"UADC1011","2014 - 2015","NCR","Terminated Student","Alexandria Redevelopment & Housing Authority NCR 2014-2015","22314","Alexandria Redevelopment & Housing Authority","Government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black","F","TC Williams",0,0.63,0.843,NA,"22302",0,NA,NA,NA,""
"UADC1334","2014 - 2015","Chicago","Active","University of Chicago Facilitiy Services CHI 2014-2015","60637","University of Chicago","Education",197,"1996-04-02","60653",24968,0.616,0.153,0.123,0.044,0.363,0.359,0.265,0.203,"Black","F","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC1174","2014 - 2015","Chicago","Active","Katten Muchin Rosenman LLP CHI 2014-2015","60661","Katten Muchin Rosenman LLP","Legal & Professional Services",NA,"1996-10-20","60634",55767,0.68,0.081,0.036,0.016,0.09,0.088,0.201,0.053,"Hispanic/Latino","M","Steinmetz College Prep",1,0.926,0.89,0.53,"60634",0,NA,NA,NA,""
"UADC6","2014 - 2015","DC - DOES","Active","Corporation for National and Community Service- Office of Accountability and Oversight 2014-2015","20005","Corporation for National and Community Service","Non-profit",136,"1997-10-14","20001",78848,0.723,0.071,0.058,0.024,0.116,0.164,0.574,0.062,"Black","F","Dunbar Senior High School",1,0.993631,0.55,NA,"20001",0,NA,NA,NA,""
"UADC7","2014 - 2015","Baltimore - YAIP","Alumni","Reading Partners BAL YAIP 2014-2015","21230","Reading Partners","Education",363,"1995-09-01","21218",38261,0.591,0.074,0.085,0.059,0.234,0.163,0.317,0.095,"Black","F","Academy of College and Career Exploration (ACCE)",0,0.771,0.6923,0.566,"21211",0,NA,NA,NA,"Urban Alliance is a very awesome program. I enjoyed and appreciate everything Urban Alliance has done for me."
"UADC1150","2014 - 2015","Chicago","Active","Grosvenor CHI 2014-2015","60611","Grosvenor","Financial Services",216,"1997-07-18","60649",28573,0.617,0.132,0.11,0.06,0.338,0.244,0.245,0.139,"Black","F","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC1090","2014 - 2015","DC - Year Round High School Program","Active","Choice Hotels DC Cambria Suites DC 2014-2015","20001","Choice Hotels","Hospitality",183,"1997-04-30","20002",65000,0.719,0.095,0.084,0.048,0.181,0.163,0.477,0.084,"Black","F","Dunbar Senior High School",1,0.993631,0.55,NA,"20001",0,NA,NA,NA,""
"UADC1337","2014 - 2015","Chicago","Active","Urban Alliance CHI 2014-2015","60603","Urban Alliance","Non-profit",173,"1996-06-08","60637",25772,0.566,0.129,0.12,0.063,0.344,0.34,0.313,0.188,"Hispanic/Latino","F","Phillips High School",1,0.944,0.69,0.58,"60653",0,NA,NA,NA,""
"UADC1151","2014 - 2015","Chicago","Active","Gynecologic Specialists of Northwestern, S.C. CHI 2015-2016","60611","Gynecologic Specialists of Northwestern, S.C.","Healthcare",18,"1997-03-07","60660",38970,0.686,0.074,0.05,0.034,0.121,0.131,0.499,0.032,"Multiracial","F","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",0,NA,NA,NA,""
"UADC1328","2014 - 2015","DC - Year Round High School Program","Active","United States Agency for International Development DC 2014-2015","20523","United States Agency for International Development","Government",62,"1997-01-26","20018",52317,0.606,0.109,0.096,0.061,0.22,0.119,0.279,0.084,"Black","F","Hospitality High Public Charter School",1,1,0.32,NA,"20011",0,NA,NA,NA,""
"UADC1022","2014 - 2015","Baltimore - YAIP","Alumni","ARC Baltimore BAL YAIP 2014-2015","21215","ARC Baltimore","Non-profit",262,"1993-12-28","21218",38261,0.591,0.074,0.085,0.059,0.234,0.163,0.317,0.095,"Black","M","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC8","2014 - 2015","DC - DOES","Active","College Tribe DC 2014-2015","20032","College Tribe","Education",9,"1996-03-05","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Not Reported","M","Dunbar Senior High School",1,0.993631,0.55,NA,"20001",0,NA,NA,NA,""
